objectid,identifier,negative number,title,date,searchable date,decade,description,bio/historical note,creator,publisher,reference,subject,subject (tcau),building name,people,organizations,campus events,location,resource type,original physical format,exhibits,format,contributing institution,language,collection,ordering and permissions,n/a (transcription) font size significantly decreased for visibility of cells,background unknown,background identifier,background date,background date,background link,cdmid,background identifier,background link,reference_url
"historicboise1561","AR 028526","","Student Body President William K. Ilett","1966; 1967","","1960s","Boise College student body president William K. Ilett.","","Stan Lloyd;","","This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.","Boise State University; Student government;","","","","Associated Students of Boise College","","Boise (Idaho)","Image:StillImage","Portrait drawings;","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/17/2011","10/17/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1684","1684","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1684","https://dcnb.github.io//bsu-demo/items/historicboise1561.html"
"historicboise1562","AR 027092","","Music Week","1959","","1950s","students from various organizations parade through downtown Boise with a banner that reads &quot;B.J.C. Boosts Music Week.&quot; This picture was taken at the 1000 block of W. Jefferson street.","","","","","Boise State University; Parades;","","","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","eng","University Archives","","","","","10/17/2011","10/17/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1685","1685","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1685","https://dcnb.github.io//bsu-demo/items/historicboise1562.html"
"historicboise1563","AR 026734","","Electrical Engineering","1995; 1996; 1997; 1998; 1999","","1990s","Two students testing a circuit board in an electrical engineering laboratory.","","","","","Boise State University; Engineering; Laboratories;","","","","","","Boise (Idaho)","Image:StillImage","color photo;","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/19/2011","10/19/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1686","1686","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1686","https://dcnb.github.io//bsu-demo/items/historicboise1563.html"
"historicboise1564","AR 006618","","Mail","1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959","","1950s","A student picks up her mail.","","","","","Boise State University; Mailboxes;","","","","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1687","1687","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1687","https://dcnb.github.io//bsu-demo/items/historicboise1564.html"
"historicboise1565","AR 026513","","Welcome Week","2002","","2000s","Two students participating in Welcome Week. They are using oversize boxing gloves to to knock each other down in an inflated ring.","","","","","Boise State University; Carnival games; Boxing;","","","","","","Boise (Idaho);","Image:StillImage;","color photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1688","1688","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1688","https://dcnb.github.io//bsu-demo/items/historicboise1565.html"
"historicboise1566","AR 026517","","Welcome Week","2002","","2000s","A guitarist performs outside the Student Union Building during Welcome Week.","","","","","Boise State University; Musicians;","","","","","","Boise (Idaho);","Image:StillImage;","color photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1689","1689","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1689","https://dcnb.github.io//bsu-demo/items/historicboise1566.html"
"historicboise1567","AR 026518","","Welcome Week","2002","","2000s","Two students relax on a bench during the first week of the fall semester.","","","","","Boise State University; Benches;","","","","","","Boise (Idaho);","Image:StillImage;","color photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1690","1690","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1690","https://dcnb.github.io//bsu-demo/items/historicboise1567.html"
"historicboise1568","AR 006621","","Delta Psi Omega","1955; 1956","","1950s","A presentation by members of Delta Psi Omega, a drama club, in the Student Union Building.","","","","","Boise State University; Drama clubs;","","Student Union (1942-1967); Communication Building; Music-Drama Building;","","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1691","1691","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1691","https://dcnb.github.io//bsu-demo/items/historicboise1568.html"
"historicboise1569","AR 004750","","Delta Psi Omega","1955-01","","1950s","Delta Psi Omega members initiating two new pledges. From left to right: Bill Huff, president of the club; Mae Zimmer, pledge; Norman Davis, pledge; Pat Brayton, club member. Delta Psi Omega was a dramatics student organization.","","Unknown","","Published in the BJC Roundup January 11, 1955 page 2 and also in Les Bois 1955 page 71","Boise State University; Theatrical productions; Initiation rites;","","","","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1692","1692","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1692","https://dcnb.github.io//bsu-demo/items/historicboise1569.html"
"historicboise1570","AR 004744","","Delta Psi Omega play &quot;","1954; 1955","","1950s","Fred Norman, Wally Winegear, Debi Lyman, and an unidentified actress performing in Delta Psi Omega play &quot;Blind Alley&quot;.","","Unknown","","Published in Les Bois 1955, under activities.","Boise State University; Theatrical productions;","","","","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1693","1693","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1693","https://dcnb.github.io//bsu-demo/items/historicboise1570.html"
"historicboise1571","AR 002316","","Student Programs Board","1975; 1976","","1970s","The Student Programs Board for the 1975-76 school year. The programs board chairman was Bob Hoppie. The board organized concerts, movies, lectures and various other events on campus.","","University Photographic Services;","","","Boise State University; Student government;","","","","Student Programs Board;","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1694","1694","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1694","https://dcnb.github.io//bsu-demo/items/historicboise1571.html"
"historicboise1572","AR 004775","","The Old Maid and the Thief","1966","","1960s","A scene from the musical play &quot;The Old Maid and the Thief&quot;. The actress on the left is Mary Robbins, and Janet Vetter is on the right.","","Unknown","","See also Les Bois 1966 page 55","Boise State University; Theatrical productions;","","","Robbins, Mary; Vetter, Janet","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1695","1695","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1695","https://dcnb.github.io//bsu-demo/items/historicboise1572.html"
"historicboise1573","AR 004777","","The Male Animal","1954-04","","1950s","Bunny Kane, George Smith, Gus Robinson, and Doyle Nelson enact a scene from &quot;The Male Animal&quot;.","","Unknown","","Published in Les Bois 1954 page 82, and The BJC Roundup, April 13, 1954 p1","Boise State University; Theatrical productions;","","","","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1696","1696","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1696","https://dcnb.github.io//bsu-demo/items/historicboise1573.html"
"historicboise1574","AR 004783","","Julius Caesar","1956-04","","1950s","The Roman tribunes shown here - Rich Warner, Paul Taylor, Don Hancock, and Ross Strickland - are agitated because the commoners do not have proper respect for the bust of Julius Caesar [from the Roundup]. The actor on the far left appears to be Fred Norman, but the caption does not mention him.","","Unknown","","Published in the BJC Roundup, April 17, 1956 page 1","Boise State University; Theatrical productions;","","","Norman, Fred;","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1697","1697","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1697","https://dcnb.github.io//bsu-demo/items/historicboise1574.html"
"historicboise1575","AR 004784","","Julius Caesar","1956-04","","1950s","A scene from the play &quot;Julius Caesar&quot;.","","Unknown","","","Boise State University; Theatrical productions;","","","","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1698","1698","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1698","https://dcnb.github.io//bsu-demo/items/historicboise1575.html"
"historicboise1576","AR 004789","","The Old Maid and the Thief","1966","","1960s","A scene from the musical play &quot;The Old Maid and the Thief&quot;. From left to right: Mary Robbins, Gary Bratt, and Janet Vetter.","","Unknown","","See also Les Bois 1966 page 55","Boise State University; Theatrical productions;","","","Robbins, Mary; Vetter, Janet; Bratt, Gary","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1699","1699","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1699","https://dcnb.github.io//bsu-demo/items/historicboise1576.html"
"historicboise1577","AR 004793","","Cradle Song","1949","","1940s","Faye Spilsbury and Barbara Thurston in the Boise Junior College production of the &quot;Cradle Song,&quot; a play offered by the Delta Psi Omega dramatics club.","","Unknown","","Published in Les Bois 1949, page 69","Boise State University; Theatrical productions;","","","","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1700","1700","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1700","https://dcnb.github.io//bsu-demo/items/historicboise1577.html"
"historicboise1578","AR 004738","","Antigone","1952-01","","1950s","La Rae Dunn as Antigone with Phillip La Civita as guard in prison scene in the Greek tragedy Antigone (caption from the Roundup).","","Unknown","","Published in the BJC Roundup, January 14, 1952 page 1, also in Les Bois, 1952","Boise State University; Theatrical productions;","","","","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1701","1701","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1701","https://dcnb.github.io//bsu-demo/items/historicboise1578.html"
"historicboise1579","AR 004795","","The Male Animal","1954-04","","1950s","A scene from the play &quot;The Male Animal&quot;.","","Unknown","","Published in Les Bois 1954 Page 82","Boise State University; Theatrical productions;","","","","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1702","1702","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1702","https://dcnb.github.io//bsu-demo/items/historicboise1579.html"
"historicboise1580","AR 006619","","Delta Psi Omega","1951; 1952","","1950s","Two members of Delta Psi Omega, the dramatics club, in costumes. Fred Norman, the 1951 president of Delta Psi Omega, is working behind the bar of the soda fountain in the Student Union Building.","","","","","Boise State University; Theatrical productions; Soda fountains;","","Student Union (1942-1967); Communication Building; Music-Drama Building;","Norman, Fred;","Delta Psi Omega;","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1703","1703","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1703","https://dcnb.github.io//bsu-demo/items/historicboise1580.html"
"historicboise1581","AR 004752","","Actress","1955","","1950s","Two women dressing an actress, possibly Pat Dolan,. This might be for a Christmas nativity scene.","","Unknown","","Published in Les Bois 1955, page 99","Boise State University; Theatrical productions;","","","Dolan, Pat;","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1704","1704","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1704","https://dcnb.github.io//bsu-demo/items/historicboise1581.html"
"historicboise1582","AR 004762","","Samson and Delilah","1951; 1952","","1950s","An actor and an actress, both dressed as biblical characters. The caption in the yearbook reads &quot;Samson&#39;s gotta show off his muscles.&quot;","","Unknown","","Published in Les Bois 1952, page 70","Boise State University; Theatrical productions;","","","","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1705","1705","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1705","https://dcnb.github.io//bsu-demo/items/historicboise1582.html"
"historicboise1583","AR 004767","","Play at Boise Junior College","1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959","","1950s","A man and woman acting in a play. The man is identified as Randy Krowl.","","Unknown","","","Boise State University; Theatrical productions;","","","","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1706","1706","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1706","https://dcnb.github.io//bsu-demo/items/historicboise1583.html"
"historicboise1584","AR 027771","","ASBSU Senators","2002","","2000s","The 2002 ASBSU senators. The next year&#39;s president Ali Ishaq is in the top row, second from right; the next year&#39;s vice president Jim Wolfe is in the center of the middle row. Other individuals identified: Tye Hoyl, Jerilyn Grow, Lee M. Vanderboegh, Jim Sherman, Sarah Ali, Anna Merkley, and Jon Frost.","","","","","Boise State University; Student government;","","","","Associated Students of Boise State University;","","Boise (Idaho);","Image:StillImage","color photo;","","image/jpeg","","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1707","1707","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1707","https://dcnb.github.io//bsu-demo/items/historicboise1584.html"
"historicboise1585","AR 002223","","Student Government","1970; 1971","","1970s","Wayne Mittleider, the 1969-70 president of the Associated Students of Boise State College, posed at his desk.","","Unknown","","","Boise State University; Student government;","","","Mittleider, Wayne","Associated Students of Boise State College;","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1708","1708","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1708","https://dcnb.github.io//bsu-demo/items/historicboise1585.html"
"historicboise1586","AR 022196","8803-033-D6","Distinguished Alumni Awards","1988-03","","1980s","The 1988 recipients of the Boise State University&#39;s Distinguished Alumni Award, from left to right, James McClary, Karl Knapp and John Elorriaga. McClary worked for Morrison-Knudsen Co. for 45 years, serving as the firm&#39;s chairman of the board from 1972 until his retirement in 1978. Knapp was second Rhodes Scholar (1980), and graduated magna cum laude from Boise State in 1981. He went on to study English literature at Oxford, and Business Administration at Harvard Business School. Elorriaga retired as chairman of the board and chief executive officer of the United States Bank of Oregon and U.S. Bancorp in October 1987.","","","","An extended article and image published in Focus magazine, Spring 1988, page 43.","Boise State University; Awards; Alumni &amp; alumnae;","","","Elorriaga, John; McClary, James D.; Knapp, Karl;","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1709","1709","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1709","https://dcnb.github.io//bsu-demo/items/historicboise1586.html"
"historicboise1587","AR 006688","","College of Idaho bell","1949","","1940s","A college rivalry between College of Idaho, in Caldwell, and Boise Junior College became heated in the late 1940s when BJC students stole the C of I bell and painted it blue. In this picture, two students pose next to the bell with wall of hay bails behind them. The hay bails indicate that the photo was probably taken in Caldwell, which has more agriculture than Boise.","","","","","Boise State University; Bells;","","","","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1710","1710","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1710","https://dcnb.github.io//bsu-demo/items/historicboise1587.html"
"historicboise1588","AR 005611","","Greek Week","1973","","1970s","Two students compete in a Greek Week competition outside the Student Union Building College. One contestant must toss a Frisbee through a hula-hoop held over the head of another student.","","University Photographic Services;","","","Boise State University; Fraternities &amp; sororities;","","Student Union (1967- );","","","Greek Week;","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1711","1711","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1711","https://dcnb.github.io//bsu-demo/items/historicboise1588.html"
"historicboise1589","AR 005610","7611-033-B5","Dorm life","11/19/1976","","1970s","The Driscoll Hall team participating in &quot;Anything Goes,&quot; a dormitory competition sponsored by Morrison Hall during Homecoming week. Each dorm had a 4 person coed team which competed in a variety of stunts for a trophy. The event was held in on the baseball field. Driscoll Hall won the trophy.","","University Photographic Services;","","Similar photos published in Les Bois 1977, page 178","Boise State University; Dormitories; Homecomings","","","","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1712","1712","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1712","https://dcnb.github.io//bsu-demo/items/historicboise1589.html"
"historicboise1590","AR 022311","8110-013-C3","Dorm life","1981-10","","1980s","Students compete in a relay race involving cardboard boxes. The competition was named after a popular television game show of the time, &quot;Anything Goes.&quot;","","","","","Boise State University; Relay racing;","","","","","","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1713","1713","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1713","https://dcnb.github.io//bsu-demo/items/historicboise1590.html"
"historicboise1591","AR 027830","","Homecoming Olympics","11/4/1986","","1980s","A water relay race during Homecoming olympics held on the side of the Student Union Building.","","Brian Becke","","","Boise State University; Relay racing; Homecomings","","","","","Homecoming;","Boise (Idaho);","Image:StillImage;","b/w photo;","","image/jpeg;","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1714","1714","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1714","https://dcnb.github.io//bsu-demo/items/historicboise1591.html"
"historicboise1592","AR 026704","9306-031-C4","Summer Youth Program","1993-06","","1990s","An air pressure soda bottle rocket, powered by water and air pressure, takes off in a field by Bronco Stadium. This activity was sponsored by the College of Applied Technology for at-risk youth.","","","","","Boise State University; Youth;","","Bronco Stadium (1970- );","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1715","1715","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1715","https://dcnb.github.io//bsu-demo/items/historicboise1592.html"
"historicboise1593","AR 020797","","Student Union staff members","1975; 1976; 1977","","1970s","A group photo of various members of the Student Union Building staff and other employees who worked under the department of Student Activities. Some persons identified are Lee Lebaron, Sherrie Culver, Chrisa Bax, Sylvia Cotton, Mike Henthorne, Ann Balfour, Randy Birkinbine, Kris Graham, Lori Jordan, Bonnie Stewart, Karin Woodworth Whity, Dyke Nally, Fred Norman.","","","","","Boise State University;","","Student Union (1967- );","Nally, Dyke; Norman, Fred;","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1716","1716","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1716","https://dcnb.github.io//bsu-demo/items/historicboise1593.html"
"historicboise1594","AR 026953","","Student Government","10/1/1971","","1970s","The Associated Students of Boise State College (ASBSC) officers, left to right: Paul Fisk (treasurer), Patrick Ebright (president), Martell Miller (vice president).","","Mike Gibbons","","","Boise State University; Student government;","","","","Associated Students of Boise State College;","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","10/29/2011","10/29/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1717","1717","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1717","https://dcnb.github.io//bsu-demo/items/historicboise1594.html"
"historicboise1595","AR 013935","","Students in Spain","1977-10","","1970s","A student (second from left) posing with friends she met while studying abroad with the university&#39;s program in the Basque Country. The scene is identified as San Sebastian, Spain.","","","","","Boise State University;","","","","","","San Sabastian (Spain)","Image:StillImage","color photo;","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","11/16/2011","11/16/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1718","1718","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1718","https://dcnb.github.io//bsu-demo/items/historicboise1595.html"
"historicboise1596","AR 002084","","Associated Students of Idaho","1980; 1981","","1980s","The Associated Students of Idaho, a coalition of students from several colleges in the state, in a meeting.","","University Photographic Services;","","","Boise State University; Student government;","","","","Associated Students of Boise State University;","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","","","University Archives","","","","","11/16/2011","11/16/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1719","1719","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1719","https://dcnb.github.io//bsu-demo/items/historicboise1596.html"
"historicboise1597","AR 023723","8912-012-C3","Accounting and Data Processing","1989-12","","1980s","An Accounting professor lecturing in a classroom.","","","","","Boise State University; Business &amp; finance","","","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","11/16/2011","11/16/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1720","1720","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1720","https://dcnb.github.io//bsu-demo/items/historicboise1597.html"
"historicboise1598","AR 024287","","One Percent Initiative","1996","","1990s","Three women at a booth in the Education Building, opposing the One Percent Initiative.","","","","","Boise State University; Political campaigns;","","Education Building;","","","","Boise (Idaho)","Image:StillImage","color photo;","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","11/16/2011","11/16/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1722","1722","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1722","https://dcnb.github.io//bsu-demo/items/historicboise1598.html"
"historicboise1599","AR 024290","","One Percent Initiative","1996","","1990s","A t-shirt that opposes the One Percent Initiative for sale at a booth.","","","","","Boise State University; Political campaigns;","","Education Building;","","","","Boise (Idaho)","Image:StillImage","color photo;","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","11/16/2011","11/16/2011","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1723","1723","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1723","https://dcnb.github.io//bsu-demo/items/historicboise1599.html"
"historicboise1600","AR 000150","","Capitol Boulevard","1981; 1982; 1983; 1984; 1985","","1980s","A view of Capitol Boulevard from south of the Boise State campus looking north. At the front of the photo are two hotels, the Ramada Inn and the Boisean Motel, behind them are the John Barnes Towers, and to the left of the street is the State Capitol building and the US Bank building.","","University Photographic Services;","","","Boise State University; Streets; Hotels; Capitols; Boise Foothills;","","John B. Barnes Towers;","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","2/7/2012","2/7/2012","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1725","1725","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1725","https://dcnb.github.io//bsu-demo/items/historicboise1600.html"
"historicboise1601","AR 028002","","City of Boise aerial photo","11/11/1976","","1970s","An aerial photo of downtown Boise, by the Idaho Air National Guard.","","","","","Boise State University; Boise (Idaho) --Aerial views;","","","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","2/7/2012","2/7/2012","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1726","1726","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1726","https://dcnb.github.io//bsu-demo/items/historicboise1601.html"
"historicboise1602","AR 028012","","City of Boise aerial photo","1965; 1966","","1960s","An aerial photo of downtown Boise.","","","","","Boise State University; Boise (Idaho) --Aerial views;","","","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","Date based on constructino progress of Chaffee hall in background.","","2/7/2012","2/7/2012","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1727","1727","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1727","https://dcnb.github.io//bsu-demo/items/historicboise1602.html"
