objectid,identifier,negative number,title,datenote,date,decade,description,bio/historical note,creator,publisher,reference,subject,subject (tcau),building name,people,organizations,campus events,location,resource type,original physical format,exhibits,format,contributing institution,language,collection,rightsstatement,n/a (transcription) font size significantly decreased for visibility of cells,background unknown,background identifier,background date,background date,background link,cdmid,background identifier,background link
historicboise1524,AR 028565,,Student Body President Tom LaBrecque,2005,2005,2000s,Boise State University student body president Tom Labrecque and vice president Jim Wolfe.,,Kimberly McKain;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State University;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/24/2011,9/24/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1647,1647,1648.jp2,/archives/image/1648.jp2
historicboise1525,AR 028567,,Student Body President Wyatt Parke,2007,2007,2000s,Boise State University student body president Wyatt Parke and vice president Molly George.,,Kimberly McKain;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State University;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/24/2011,9/24/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1648,1648,1649.jp2,/archives/image/1649.jp2
historicboise1526,AR 028569,,Student Body President Trevor Grigg,2008-2009,2008; 2009,2000s,Boise State University student body president Trevor Gregg and Joseph Bunt.,,Kimberly McKain;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State University;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/24/2011,9/24/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1649,1649,1650.jp2,/archives/image/1650.jp2
historicboise1527,AR 028532,,Student Body President Tom Dreschsel,1972-1973,1972; 1973,1970s,Boise State College student body president Tom Dreschsel.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State College;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/24/2011,9/24/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1650,1650,1651.jp2,/archives/image/1651.jp2
historicboise1528,AR 028528,,Student Body President Dyke Nally,1968-1969,1968; 1969,1960s,"Boise State College student body president James ""Dyke"" Nally",,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State College;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/24/2011,9/24/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1651,1651,1652.jp2,/archives/image/1652.jp2
historicboise1529,AR 028531,,Student Body President Pat Ebright,1971-1972,1971; 1972,1970s,Boise State College student body president Pat Ebright.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State College;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/24/2011,9/24/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1652,1652,1653.jp2,/archives/image/1653.jp2
historicboise1530,AR 028530,,Student Body President Wayne Mittleider,1970-1971,1970; 1971,1970s,Boise State College student body president Wayne Mittleider.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State College;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/24/2011,9/24/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1653,1653,1654.jp2,/archives/image/1654.jp2
historicboise1531,AR 028529,,Student Body President Jack Arbaugh,1969-1970,1969; 1970,1960s,Boise State College student body president Jack Arbaugh.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State College;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/24/2011,9/24/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1654,1654,1655.jp2,/archives/image/1655.jp2
historicboise1532,AR 028542,,Student Body President Marlyss Fairchild,1982-1983,1982; 1983,1980s,Boise State University student body president Marlyss Fairchild.,,Linda Shin,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State University;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/26/2011,9/26/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1655,1655,1656.jp2,/archives/image/1656.jp2
historicboise1533,AR 028546,,Student Body President Karl Vogt,1986,1986,1980s,Boise State University student body president Karl Vogt.,,,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise State University;,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,9/26/2011,9/26/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1656,1656,1657.jp2,/archives/image/1657.jp2
historicboise1534,AR 028524,,Student Body President Craig Heilman,1964-1965,1964; 1965,1960s,Boise Junior College student body president Craig Heilman.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1657,1657,1658.jp2,/archives/image/1658.jp2
historicboise1535,AR 028523,,Student Body President John Hallavik,1963-1964,1963; 1964,1960s,Boise Junior College student body president John Hallavick.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1658,1658,1659.jp2,/archives/image/1659.jp2
historicboise1536,AR 028522,,Student Body President Howard Mylander,1962-1963,1962; 1963,1960s,Boise Junior College student body president Howard Mylander.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1659,1659,1660.jp2,/archives/image/1660.jp2
historicboise1537,AR 028521,,Student Body President Robert Swanson,1961,1961,1960s,Boise Junior College student body president Robert Swanson.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1660,1660,1661.jp2,/archives/image/1661.jp2
historicboise1538,AR 028520,,Student Body President Sheila Gates,1962,1962,1960s,Boise Junior College student body president Sheila Gates.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1661,1661,1662.jp2,/archives/image/1662.jp2
historicboise1539,AR 028519,,Student Body President Callaway Colberg,1960-1961,1960; 1961,1960s,Boise Junior College student body president Cal Colberg.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1662,1662,1663.jp2,/archives/image/1663.jp2
historicboise1540,AR 028518,,Student Body President Barry Bloom,1959-1960,1959; 1960,1950s,Boise Junior College student body president Barry Bloom.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1663,1663,1664.jp2,/archives/image/1664.jp2
historicboise1541,AR 028516,,Student Body President Ted Landers,1957-1958,1957; 1958,1950s,Boise Junior College student body president Ted Landers.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1664,1664,1665.jp2,/archives/image/1665.jp2
historicboise1542,AR 028515,,Student Body President Gleora Spackman,1956-1957,1956; 1957,1950s,Boise Junior College student body president Gleora Spackman.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/21/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1665,1665,1666.jp2,/archives/image/1666.jp2
historicboise1543,AR 028514,,Student Body President Roderick Walston,1955-1956,1955; 1956,1950s,Boise Junior College student body president Roderick Walston.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1666,1666,1667.jp2,/archives/image/1667.jp2
historicboise1544,AR 028506,,Student Body President Fred Athanasakas,1947-1948,1947; 1948,1940s,Boise Junior College student body president Fred Athanasakas.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1667,1667,1668.jp2,/archives/image/1668.jp2
historicboise1545,AR 028513,,Student Body President Bob Fulwyler,1954-1955,1954; 1955,1950s,Boise Junior College student body president Bob Fulwyler.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1668,1668,1669.jp2,/archives/image/1669.jp2
historicboise1546,AR 028512,,Student Body President Gerald Crandall,1953-1954,1953; 1954,1950s,Boise Junior College student body president Gerald Crandall.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1669,1669,1670.jp2,/archives/image/1670.jp2
historicboise1547,AR 028511,,Student Body President Rex Fraser,1952-1953,1952; 1953,1950s,Boise Junior College student body president Rex Fraser.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1670,1670,1671.jp2,/archives/image/1671.jp2
historicboise1548,AR 028509,,Student Body President Mac Wright,1950-1951,1950; 1951,1950s,Boise Junior College student body president Mac Wright.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1671,1671,1672.jp2,/archives/image/1672.jp2
historicboise1549,AR 028508,,Student Body President By Erstad,1949-1950,1949; 1950,1940s,Boise Junior College student body president By Erstad.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,"Erstad, By",Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1672,1672,1673.jp2,/archives/image/1673.jp2
historicboise1550,AR 028507,,Student Body President John Elorriaga,1948-1949,1948; 1949,1940s,Boise Junior College student body president John Elorriaga.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,"Elorriaga, John",Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1673,1673,1674.jp2,/archives/image/1674.jp2
historicboise1551,AR 028505,,Student Body President Harry Rowe,1946-1947,1946; 1947,1940s,Boise Junior College student body president Harry Rowe.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1674,1674,1675.jp2,/archives/image/1675.jp2
historicboise1552,AR 028504,,Student Body President Fred Reich,1945-1946,1945; 1946,1940s,Boise Junior College student body president Fred Reich.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1675,1675,1676.jp2,/archives/image/1676.jp2
historicboise1553,AR 028503,,Student Body President Richard Parker,1944-1945,1944; 1945,1940s,Boise Junior College student body president Richard Parker,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise Junior College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1676,1676,1677.jp2,/archives/image/1677.jp2
historicboise1554,AR 028527,,Student Body President Ernest Weber,1967-1968,1967; 1968,1960s,Boise College student body president Ernest Weber.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,Associated Students of Boise College,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1677,1677,1678.jp2,/archives/image/1678.jp2
historicboise1555,AR 028499,,Student Body President William Joyce,1934-1935,1934; 1935,1930s,Boise Junior College student body president William Joyce.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1678,1678,1679.jp2,/archives/image/1679.jp2
historicboise1556,AR 028500,,Student Body President Hilton Dick,1941-1942,1941; 1942,1940s,Boise Junior College student body president Hilton Dick.,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1679,1679,1680.jp2,/archives/image/1680.jp2
historicboise1557,AR 028501,,Student Body President Bill Adams,1942-1943,1942; 1943,1940s,Boise Junior College student body president Bill Adams,,Stan Lloyd;,,"This portrait, along with portraits of other student body presidents, once hung in the student government offices in the Student Union Building. They were transferred to the library in 2010.",Boise State University; Student government;,,,,,,Boise (Idaho),Image:StillImage,Portrait drawings;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,,10/17/2011,10/17/2011,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/1680,1680,1681.jp2,/archives/image/1681.jp2
